Artikelnummer,Bezeichnung,Online_Status,EAN,Kred_Artikelnummer,Warengruppe,Hauptkategorie,PG_Beschreibung,Marke,Modellnummer,Farbe,Saison,Herstellergröße,Zielgruppe,Rahmentyp,Radgröße,Akkukapazität,Absatz_Variabel,Absatz_30T,Absatz_7T,Bestand_verfügbar,Reichweite_JAHRE,Reichweite_MONATE,In_Auftrag,Offen,Nächster_Bestellzugang,Nächste_EK_Menge,Nächster_EK_Preis,Letzter_Einkaufspreis_Datum,Letzter_Einkaufspreis_Wert,Avg_EK,Umsatz_Var,DB_Var,Netto_Umsatz_7_Tage,Netto_Umsatz_30_Tage,DB_Pct_Var,Lagerwert,Retourquote,Erster_Zugang,Preis_Online,UVP,Rabattsatz,Kalkulation,BEMERKUNG,MINPRICE,MAXPRICE
X0029670-3,pedeX 1,JA,4250969220032,2003,R026,TZB,Ki-Laufrad,SCOOL,M000034318,Dark Blue/Orange,22,OSZ,KI,SON,12,0,0,0,0,1,,,0,0,,0,0,0,0,65.79,0,0,0,0,0,65.79,0,43830,159,159,0,0,CC:AK_Beschluss_Scool_UVPunter 600€_08112024,159,159
X0038461-2,pedeX 3in1,JA,4250969220070,2007,R026,TZB,Ki-Laufrad,SCOOL,M000034319,green/yellow,21,OSZ,KI,SON,-,0,0,0,0,1,,,0,0,,0,0,0,0,45.25,0,0,0,0,0,45.25,0,43830,69.99,89,0.213596,0,CC:AK_Beschluss_Scool_UVPunter 600€_08112024,89,89
X0038466-3,pedeX Race Light,JA,4250969220278,2027,R026,TZB,Ki-Laufrad,SCOOL,M000034325,silver/purple,25,OSZ,KI,SON,12,0,0,0,0,1,,,0,0,,0,0,44986,63.4675,55.66,0,0,0,0,0,59.82,0.333333,43830,129,129,0,2,CC:AK_Beschluss_Scool_UVPunter 600€_08112024,129,129
X0040662-2,"Mia 12"" Push-Bike",Nein/Nur in der Filiale Verfügbar,2016736009314,BI-CRE-9290-pistachi,R026,TZB,Ki-Laufrad,CREME,M000010621,pistachio polka,19,OSZ,KI,SON,12,0,1,0,0,0,0,,0,0,,0,0,0,0,0,89.16,89.16,0,0,1,0,0,45323,106.99,119,0.100924,0,CC-10%-1825,106.99,106.99
X0004392-1,M70T4 Bremsschuhe für V-Brake,JA,4524667096542,Y8BM9803A,T072,TZB,Bremsbeläge,SHIMANO,M000010519,schwarz,24,OSZ,UN,,,0,4,4,2,3,0.75,0.75,3,0,,0,0,46111,2.902,2.787846,30.08,18.48,15.042017,30.084034,0.614362,17.42,0,45443,8.95,8.95,0,3.1,MC-NOS-C MB=5 VE=10 8/100,8.95,8.95
X0008042-1,Disc Bremsbeläge Elixir/DB/Level/Road Bremssattel 2-teilig,JA,710845674853,2031020901,T072,TZB,Bremsbeläge,AVID,M000005471,bronze,23,gesintert/Stahl,UN,,,0,49,8,6,43,0.877551,5.375,0,0,,0,0,45084,10.1904,10.1904,617.07,117.76,135.882353,181.176471,0.190837,438.25,0.071006,44950,26.95,26.95,0,2.6,MC-AUSLAUF,14.99,27
X0004417-1,Netzkabel für Ladegerät SM-BCR1,JA,4524667289555,ISMBCC11,T131,TZB,E-Bike E-Teil,SHIMANO,M000010441,schwarz,NOS,OSZ,KA,,,0,8,-1,0,1,0.125,-1,0,0,,0,0,44739,4.646842,4.646842,47.01,9.85,0,-14.243697,0.20953,4.64,0.25,44742,16.95,16.95,0,3.6,MC-C-NOS-5125,6.99,6.99
X0004444-3,Kassette Ultegra CS-6700 10-fach,JA,4524667293651,ICS670010128,T083,TZB,Zahnkränze/Kassetten,SHIMANO,M000110814,Silber,24,11-28 Zähne,UN,,,0,7,3,0,11,1.571429,3.666667,0,0,,0,0,46107,40.334,39.778947,311.71,29.38,0,133.588235,0.094254,443.68,0.035714,45441,52.99,89.95,0.410895,1.3,MC-NOS-C MB=5 VE=30,52.99,52.99
X0004768-1,Kassette DEORE XT CS-M771 10-fach,JA,4524667428671,ICSM77110132,T083,TZB,Zahnkränze/Kassetten,SHIMANO,M000083862,grau,24,11-32 Zähne,UN,,,0,4,1,1,4,1,4,0,0,,0,0,45295,43.938,41.557,215.09,44.73,53.773109,53.773109,0.207959,170.34,0.058824,44901,63.99,88.95,0.280607,1.5,MC-AUSLAUF,63.99,63.99
X0004768-2,Kassette DEORE XT CS-M771 10-fach,JA,4524667428664,ICSM77110134,T083,TZB,Zahnkränze/Kassetten,SHIMANO,M000010422,grau,NOS,11-34 Zähne,KA,,,0,9,0,0,2,0.222222,,1,0,,0,0,45909,42.566,42.083478,447.2,60.75,0,0,0.135845,128.23,0.122449,45111,59.99,88.95,0.325576,1.4,MC-NOS-C MB=5 VE=18,59.99,59.99
