Artikelnummer,Bezeichnung,Online_Status,EAN,Kred_Artikelnummer,Warengruppe,Hauptkategorie,PG_Beschreibung,Marke,Modellnummer,Farbe,Saison,Herstellergröße,Zielgruppe,Rahmentyp,Radgröße,Akkukapazität,Absatz_Variabel,Absatz_30T,Absatz_7T,Bestand_verfügbar,Reichweite_JAHRE,Reichweite_MONATE,In_Auftrag,Offen,Nächster_Bestellzugang,Nächste_EK_Menge,Nächster_EK_Preis,Letzter_Einkaufspreis_Datum,Letzter_Einkaufspreis_Wert,Avg_EK,Umsatz_Var,DB_Var,Netto_Umsatz_7_Tage,Netto_Umsatz_30_Tage,DB_Pct_Var,Lagerwert,Retourquote,Erster_Zugang,Preis_Online,UVP,Rabattsatz,Kalkulation,BEMERKUNG,MINPRICE,MAXPRICE
X0047392-2,ARCO 80,JA,4061929024115,212000000211,F003,Bike,Trekking ST,LAKES,M000021486,darkanthracite black silver,26,55 CM,HE,DIA,28,0,1,1,0,6,6,6,0,10,2026-03-31,10,282.35,46083,229.16,150.209804,378.14,148.98,0,378.142857,0.393981,1374.96,0.054054,43831,449.99,549.99,0.181821,2,,,
X0047392-3,ARCO 80,JA,4061929024122,212000000212,F003,Bike,Trekking ST,LAKES,M000021486,darkanthracite black silver,26,60 CM,HE,DIA,28,0,0,0,0,9,,,0,1,2026-03-31,1,282.35,46083,229.16,194.178,0,0,0,0,0,2062.44,0,43900,449.99,549.99,0.181821,2,,,
X0047393-1,ARCO 90,JA,4061929024269,212000000226,F003,Bike,Trekking ST,LAKES,M000021487,black brownsilver greensilver,26,45 CM,DA,DKO,28,0,1,0,0,13,13,,0,7,2026-03-31,7,352.93,46083,251.28,183.607333,420.16,168.88,0,0,0.401942,3266.64,0,43937,499.99,599.99,0.166669,2,,,
X0047393-2,ARCO 90,JA,4061929024276,212000000227,F003,Bike,Trekking ST,LAKES,M000021487,black brownsilver greensilver,26,50 CM,DA,DKO,28,0,1,0,0,12,12,,0,4,2026-03-31,4,317.64,46083,251.28,204.83775,420.16,168.88,0,0,0.401942,3015.36,0.086957,43831,499.99,599.99,0.166669,2,,,
X0047394-4,ARCO 90,JA,4061929024283,212000000228,F003,Bike,Trekking ST,LAKES,M000021488,redmetal darksilver beige,26,46 CM,DA,DSP,28,0,0,0,0,5,,,0,0,,0,0,46083,251.28,233.836,0,0,0,0,0,1256.4,0,44391,499.99,599.99,0.166669,2,,,
X0047394-5,ARCO 90,JA,4061929024290,212000000229,F003,Bike,Trekking ST,LAKES,M000021488,redmetal darksilver beige,26,50 CM,DA,DSP,28,0,1,0,0,9,9,,1,1,2026-03-31,1,251.28,46083,251.28,219.795556,420.16,168.88,0,0,0.401942,2512.8,0.125,43831,499.99,599.99,0.166669,2,,,
X0047395-2,ARCO 90,JA,4061929024207,212000000220,F003,Bike,Trekking ST,LAKES,M000021489,black brownsilver greensilver,26,55 CM,HE,DIA,28,0,0,0,0,13,,,0,1,2026-03-31,1,317.64,46083,251.28,220.646667,0,0,0,0,0,3266.64,0,43831,499.99,599.99,0.166669,2,,,
X0047396-1,FREE 100,JA,4061929024443,212000000244,F003,Bike,Trekking ST,LAKES,M000021504,black turquoise anthracite,26,46 CM,DA,DSP,28,0,0,0,0,0,,,0,3,2026-03-31,3,374.11,45658,276.92,208.258824,0,0,0,0,0,0,0.066667,43914,529.99,649.99,0.184618,1.9,,,
X0047396-5,FREE 100,JA,4061929024481,212000000248,F003,Bike,Trekking ST,LAKES,M000021504,white turquoise silver,26,52 CM,DA,DSP,28,0,1,1,0,11,11,11,1,8,2026-03-31,8,374.11,46083,276.92,212.074545,445.37,168.45,0,445.369748,0.378225,3323.04,0.078947,43831,529.99,649.99,0.184618,1.9,,,
X0047397-1,FREE 100,JA,4061929024405,212000000240,F003,Bike,Trekking ST,LAKES,M000021505,black turquoise anthracite,26,50 CM,HE,DIA,28,0,0,0,0,0,,,0,13,2026-03-31,13,276.92,44956,276.92,181.810769,0,0,0,0,0,0,0,43900,529.99,649.99,0.184618,1.9,,,
X0047398-2,FREE 110,JA,4061929024559,212000000255,F003,Bike,Trekking ST,LAKES,M000021506,telegrey greenishyellow grey,26,52 CM,DA,DSP,28,0,2,0,0,11,5.5,,0,0,,0,0,45658,312.82,290.529375,1008.38,382.74,0,0,0.379559,3441.02,0.148148,43831,599.99,749.99,0.200003,1.9,,,
X0047398-3,FREE 110,JA,4061929024566,212000000256,F003,Bike,Trekking ST,LAKES,M000021506,telegrey greenishyellow grey,26,56 CM,DA,DSP,28,0,2,1,1,7,3.5,7,0,0,,0,0,46083,312.82,291.356786,1008.38,391.4,504.193277,504.193277,0.388147,2161.42,0,43900,599.99,749.99,0.200003,1.9,,,
X0047399-1,FREE 110,JA,4061929024504,212000000250,F003,Bike,Trekking ST,LAKES,M000021507,telegrey greenishyellow grey,26,50 CM,HE,DIA,28,0,1,0,0,9,9,,0,0,,0,0,45658,312.82,293.315758,504.19,191.37,0,0,0.379559,2815.38,0,43900,599.99,749.99,0.200003,1.9,,,
X0047399-2,FREE 110,JA,4061929024511,212000000251,F003,Bike,Trekking ST,LAKES,M000021507,telegrey greenishyellow grey,26,55 CM,HE,DIA,28,0,3,0,0,9,3,,0,0,,0,0,45658,312.82,288.183966,1512.57,574.11,0,0,0.379559,2815.38,0.078947,43831,599.99,749.99,0.200003,1.9,,,
X0047399-3,FREE 110,JA,4061929024528,212000000252,F003,Bike,Trekking ST,LAKES,M000021507,telegrey greenishyellow grey,26,60 CM,HE,DIA,28,0,0,0,0,7,,,0,5,2026-03-31,5,423.52,46083,312.82,209.956842,0,0,0,0,0,2189.74,0,43914,599.99,749.99,0.200003,1.9,,,
X0047400-1,Free 120,JA,4061929024610,212000000261,F003,Bike,Trekking ST,LAKES,M000021508,darkanthracite orange black,26,46 CM,DA,DSP,28,0,1,0,0,0,0,,0,0,,0,0,44956,364.1,330.766,588.23,248.5,0,0,0.422454,0,0,43900,699.99,849.99,0.176473,1.9,,,
X0047400-2,Free 120,JA,4061929024627,212000000262,F003,Bike,Trekking ST,LAKES,M000021508,darkanthracite orange black,26,52 CM,DA,DSP,28,0,2,0,0,15,7.5,,0,1,2026-03-31,1,364.1,46083,364.1,325.765854,1176.46,509.18,0,0,0.432807,5461.5,0,43831,699.99,849.99,0.176473,1.9,,,
X0047400-3,Free 120,JA,4061929024634,212000000263,F003,Bike,Trekking ST,LAKES,M000021508,darkanthracite orange black,26,56 CM,DA,DSP,28,0,0,0,0,4,,,0,6,2026-03-31,6,364.1,46083,364.1,221.726842,0,0,0,0,0,1456.4,0.2,43900,699.99,849.99,0.176473,1.9,,,
X0047401-1,Free 120,JA,4061929024573,212000000257,F003,Bike,Trekking ST,LAKES,M000021509,darkanthracite orange black,26,50 CM,HE,DIA,28,0,0,0,0,6,,,0,0,,0,0,44956,364.1,337.818214,0,0,0,0,0,2111.5,0.2,43900,699.99,849.99,0.176473,1.9,,,
X0047401-2,Free 120,JA,4061929024580,212000000258,F003,Bike,Trekking ST,LAKES,M000021509,darkanthracite orange black,26,55 CM,HE,DIA,28,0,3,0,0,0,0,,0,0,,0,0,45658,364.1,331.866905,1764.69,672.39,0,0,0.381024,0,0.051282,43831,699.99,849.99,0.176473,1.9,,,
X0047402-1,Preload 110,JA,4061929024689,212000000268,F004,Bike,Trekking OR,LAKES,M000021510,midgrey darksilver pink,26,46 CM,DA,DSP,28,0,0,0,0,12,,,0,0,,0,0,46083,312.82,296.0592,0,0,0,0,0,3753.84,0,44410,599.99,699.99,0.142859,1.9,,,
X0047402-2,Preload 110,JA,4061929024696,212000000269,F004,Bike,Trekking OR,LAKES,M000021510,midgrey darksilver pink,26,52 CM,DA,DSP,28,0,0,0,0,6,,,0,6,2026-03-31,6,312.82,46083,312.82,214.322857,0,0,0,0,0,1876.92,0,43831,599.99,699.99,0.142859,1.9,,,
X0047403-1,Preload 110,JA,4061929024641,212000000264,F004,Bike,Trekking OR,LAKES,M000021511,midgrey darksilver green,26,50 CM,HE,DIA,28,0,0,0,0,27,,,0,0,,0,0,46083,312.82,309.926944,0,0,0,0,0,8446.14,0,44391,599.99,699.99,0.142859,1.9,,,
X0047406-1,Livorno,JA,4061929024870,212000000287,F001,Bike,City,PASSAT,M000034624,applegreen white yellow,26,47 CM,DA,DOP,28,0,0,0,0,0,,,0,10,2026-03-31,10,232.93,43966,142.94,32.986923,0,0,0,0,0,0,0,43831,379.99,529.99,0.283024,2.7,FC: Season bis  MY22,259.99,259.99
X0047406-2,Livorno,JA,4061929024887,212000000288,F001,Bike,City,PASSAT,M000034624,applegreen white yellow,26,53 CM,DA,DOP,28,0,2,2,2,0,0,0,2,3,2026-03-31,3,232.93,46083,194.87,111.354286,638.63,248.89,638.638655,638.638655,0.389725,389.74,0,46103,379.99,529.99,0.283024,1.9,FC: Season bis  MY22,259.99,259.99
X0047406-3,Livorno,JA,4061929024894,212000000289,F001,Bike,City,PASSAT,M000034624,pink white darkanthracite,26,47 CM,DA,DOP,28,0,0,0,0,0,,,0,9,2026-03-31,9,232.93,44028,142.94,25.99,0,0,0,0,0,0,0.333333,43831,379.99,529.99,0.283024,2.7,FC: Season bis  MY22,259.99,259.99
X0047406-4,Livorno,JA,4061929024900,212000000290,F001,Bike,City,PASSAT,M000034624,pink white darkanthracite,26,53 CM,DA,DOP,28,0,0,0,0,0,,,0,13,2026-03-31,13,232.93,0,0,0,0,0,0,0,0,0,0,0,379.99,529.99,0.283024,0,FC: Season bis  MY22,259.99,259.99
X0047442-1,Aluminium Scooter 230 mm,JA,4260341185132,513,R023,TZB,Scooter,SIXDEGREES,M000033206,Rot,26,OSZ,UN,,,0,1,0,0,9,9,,0,0,,0,0,45579,65.95,65.95,95.82,29.87,0,0,0.31173,593.55,0.5,45580,114.99,129.95,0.115121,1.7,,,
X0047442-2,Aluminium Scooter 230 mm,JA,4260341185149,514,R023,TZB,Scooter,SIXDEGREES,M000033206,Türkis,26,OSZ,UN,,,0,3,0,0,12,4,,0,0,,0,0,46085,65.95,65.95,301.66,103.81,0,0,0.344129,791.4,0.2,45579,114.99,129.95,0.115121,1.7,,,
X0047502-3,Strict 100,Nein/Nur in der Filiale Verfügbar,4061929025051,212000000306,F006,Bike,MTB,CARVER,M000009296,orange anthracite black,25,36 CM,HE,DIA,26,0,2,0,0,0,0,,0,0,,0,0,44926,270.4,258.884706,672.26,147.12,0,0,0.218844,0,0,44032,399.99,549.99,0.272732,1.5,DW:Regel_Anp_KW10_07032025,399.99,449.99
X0047502-4,Strict 100,Nein/Nur in der Filiale Verfügbar,4061929025068,212000000307,F006,Bike,MTB,CARVER,M000009296,orange anthracite black,25,40 CM,HE,DIA,26,0,1,0,0,0,0,,0,0,,0,0,44926,270.4,262.57,333.32,70.75,0,0,0.212258,0,0.166667,44631,399.99,549.99,0.272732,1.5,DW:Regel_Anp_KW10_07032025,399.99,449.99
X0047505-1,Strict 100 W,Nein/Nur in der Filiale Verfügbar,4061929025136,212000000314,F006,Bike,MTB,CARVER,M000009290,atlantic neonyellow black,25,36 CM,DA,DIA,26,0,3,0,0,0,0,,0,0,,0,0,45107,270.4,260.019565,1008.39,215.46,0,0,0.213667,0,0.066667,43937,399.99,549.99,0.272732,1.5,,,
X0047506-2,Strict 100 W,JA,4061929025167,212000000317,F006,Bike,MTB,CARVER,M000009291,atlantic neonyellow black,25,42 CM,DA,DIA,"27,5",0,2,0,0,0,0,,0,0,,0,0,44865,300,270.800909,672.26,117.27,0,0,0.174441,0,0,43937,399.99,549.99,0.272732,1.3,,,
X0047580-2,Route E.440,JA,4061929026638,212000000464,F103,Bike,E-Trekking ST,CARVER,M000009204,anthraciteblackreflective,25,55 CM,HE,DIA,28,500,0,0,0,1,,,0,0,,0,0,44651,1612.89,1603.074667,0,0,0,0,0,1603.07,0,43937,2699.99,3599.99,0.250001,1.7,,,
X0048449-1,Mandara Deluxe+,Nein/Nur in der Filiale Verfügbar,601842205181,593845,F103,Bike,E-Trekking ST,DIAMANT,M000015511,Tiefschwarz,22,L,HE,DIA,28,500,2,0,0,0,0,,0,0,,0,0,45609,815,815,2857.12,1227.12,0,0,0.429495,0,0,45610,1699.99,2699,0.370141,2.1,FC: Season bis  MY22,1699.99,1699.99
X0049682-1,Hybride Square Travel B4.7+ AL W,JA,4052968299992,65YS1067,F105,Bike,E-ATB,GHOST,M000016301,rock  jet black,20,S,DA,DSP,"27,5",500,0,0,0,1,,,0,0,,0,0,44641,1595.56,1602.496667,0,0,0,0,0,1602.49,0,44529,2499.99,2999,0.166392,1.6,,,
X0049946-1,Micky,JA,2016736013861,BI-CRE-2286-22-Red S,R026,TZB,Ki-Laufrad,CREME,M000010675,Red Speed,22,22 CM,KI,DKO,12,0,0,0,0,1,,,0,0,,0,0,0,0,68.8,0,0,0,0,0,68.8,0,43830,133.99,149,0.100738,0,CC-10%-1825,133.99,133.99
X0052148-2,niXe 12 1-Gang,JA,4250969230666,3066,F010,Bike,Spiel,SCOOL,M000093045,Pink/Baby Pink,25,21 CM,KI,DKO,12,0,1,0,0,0,0,,0,0,,0,0,44986,127.4225,107.331667,184.03,69.79,0,0,0.379232,0,0.111111,43854,219,219,0,1.7,DW:Regelanp_KW09_28022025,259,259
X0052148-3,niXe 12 1-Gang,Nein/Nur in der Filiale Verfügbar,4250969230673,3067,F010,Bike,Spiel,SCOOL,M000093044,Ocean/Pink,24,21 CM,KI,DKO,12,0,3,0,0,0,0,,0,0,,0,0,44103,101.058,97.28625,501.66,209.81,0,0,0.418231,0,0,43854,159.99,199,0.19603,1.6,,,
X0052150-2,niXe 18 1-Gang,JA,4250969250664,5066,F010,Bike,Spiel,SCOOL,M000042704,Pink/Baby Pink,25,28 CM,KI,DKO,18,0,2,0,0,8,4,,0,0,,0,0,45372,108.8455,117.628611,403.34,185.65,0,0,0.460282,870.76,0,43854,239.99,259,0.073398,2.2,DW:Regelanp_KW09_28022025,289,289
X0052150-3,niXe 18 1-Gang,JA,4250969250671,5067,F010,Bike,Spiel,SCOOL,M000042704,Ocean/Pink,25,28 CM,KI,DKO,18,0,1,0,0,6,6,,0,0,,0,0,45372,108.8455,117.198387,201.67,91.24,0,0,0.452422,662.61,0,43854,239.99,259,0.073398,2.2,DW:Regelanp_KW09_28022025,289,289
X0052159-1,pedeX Magnesium,Nein/Nur in der Filiale Verfügbar,4250969220506,2050,R026,TZB,Ki-Laufrad,SCOOL,M000034323,black/blue,25,OSZ,KI,SON,12,0,18,0,0,0,0,,0,0,,0,0,45372,42.4205,50.564643,1208.82,445.25,0,0,0.368334,42.42,0.115385,43830,79.99,169,0.526686,1.9,CCpedexAnpassung090925,79.99,79.99
X0052159-2,pedeX Magnesium,JA,4250969220513,2051,R026,TZB,Ki-Laufrad,SCOOL,M000034323,Black/Green,25,OSZ,KI,SON,12,0,7,0,0,5,0.714286,,0,0,,0,0,45372,42.42,55.835882,470.53,133.48,0,0,0.28368,240.77,0.111111,43830,79.99,169,0.526686,1.9,CCpedexAnpassung090925,79.99,79.99
X0052159-3,pedeX Magnesium,JA,4250969220520,2052,R026,TZB,Ki-Laufrad,SCOOL,M000034323,black/yellow,25,OSZ,KI,SON,12,0,6,0,0,5,0.833333,,0,0,,0,0,45372,42.42,47.43,402.76,118.18,0,0,0.293425,237.15,0.125,43830,79.99,169,0.526686,1.9,CCpedexAnpassung090925,79.99,79.99
X0052173-2,XXlite 16 1-Gang,JA,4250969240764,4076,F010,Bike,Spiel,SCOOL,M000109353,Black/Orange,25,24 CM,KI,Y-F,16,0,1,1,0,0,0,0,0,0,,0,0,44103,111.21,107.44375,199.16,91.72,0,200.840336,0.460534,0,0.333333,43854,239,239,0,2.1,DW:Regelanp_KW09_28022025,279,279
X0052174-2,XXlite 18 1-Gang,JA,4250969250763,5076,F010,Bike,Spiel,SCOOL,M000109354,Black/Orange,25,26 CM,KI,Y-F,18,0,3,0,0,6,2,,0,0,,0,0,45372,108.8455,117.979375,704.17,377.64,0,0,0.536291,653.07,0.111111,43853,259,259,0,2.4,DW:Regelanp_KW09_28022025,289,289
X0052176-2,XXlite 20 7-Gang,JA,4250969262650,6265,F005,Bike,ATB,SCOOL,M000034360,Dark Grey/Ocean,25,28 CM,KN,Y-F,20,0,1,0,0,2,2,,0,0,,0,0,44986,225.8275,181.25625,377.31,193.09,0,0,0.511754,368.45,0.111111,43853,449,449,0,2,DW:Regelanp_KW09_28022025,449,449
X0052179-2,XXlite 24 7-Gang,Nein/Nur in der Filiale Verfügbar,4250969272642,7264,F005,Bike,ATB,SCOOL,M000034363,Blue/Deep Blue,25,31 CM,KN,Y-F,24,0,7,0,0,0,0,,0,0,,0,0,43866,228.257,228.257,2662.95,1065.17,0,0,0.399996,0,0,43853,429.99,589,0.269966,1.9,DW:Regelanp_KW09_28022025,589,589
X0052180-1,XXlite EVO 16 1-Gang,JA,4250969241044,4104,F010,Bike,Spiel,SCOOL,M000034364,Dark Grey/Yellow,25,22 CM,KI,Y-F,16,0,0,0,0,17,,,0,0,,0,0,45372,142.111,142.010385,0,0,0,0,0,2415.89,0.222222,43854,399,399,0,2.8,DW:Regelanp_KW09_28022025,399,399
X0052180-2,XXlite EVO 16 1-Gang,JA,4250969241051,4105,F010,Bike,Spiel,SCOOL,M000034364,Dark Green/Mint,25,22 CM,KI,Y-F,16,0,0,0,0,14,,,0,0,,0,0,45372,142.111,149.146389,0,0,0,0,0,2007.81,0.083333,43853,399,399,0,2.8,DW:Regelanp_KW09_28022025,399,399
X0052182-1,XXlite EVO 18 1-Gang,JA,4250969251074,5107,F010,Bike,Spiel,SCOOL,M000034365,Dark Grey/Yellow,25,23 CM,KI,Y-F,18,0,1,0,0,15,15,,0,0,,0,0,45372,142.111,143.818214,335.29,193.18,0,0,0.576158,2131.67,0.333333,43853,399,399,0,2.8,DW:Regelanp_KW09_28022025,399,399
X0052182-2,XXlite EVO 18 1-Gang,JA,4250969251081,5108,F010,Bike,Spiel,SCOOL,M000034365,Dark Green/Mint,25,23 CM,KI,Y-F,18,0,0,0,0,13,,,0,0,,0,0,45372,142.111,155.1845,0,0,0,0,0,1847.45,0,43853,399,399,0,2.8,DW:Regelanp_KW09_28022025,399,399
X0052193-1,XXlite Street 18 3-Gang,JA,4250969250817,5081,F010,Bike,Spiel,SCOOL,M000042716,blue/lime,25,26 CM,KI,Y-F,18,0,4,0,0,0,0,,0,0,,0,0,45372,165.874,173.771111,1341.16,677.66,0,0,0.505279,0,0,43854,399,399,0,2.4,DW:Regelanp_KW09_28022025,399,399
X0052389-1,Grade 3,JA,4250969288209,8820,F010,Bike,Spiel,ACADEMY,M000010554,Olive,26,25 CM,KI,DIA,16,0,3,0,0,5,1.666667,,0,0,,0,0,45372,194.385333,207.647333,1048.72,465.56,0,0,0.443932,971.92,0,44980,429,429,0,2.2,DW:MY26_Umschreibung_UVP_28112025,429,429
X0052389-2,Grade 3,JA,4250969288216,8821,F010,Bike,Spiel,ACADEMY,M000010554,blue,26,25 CM,KI,DIA,16,0,1,0,0,19,19,,0,0,,0,0,45372,194.384815,205.671702,360.5,166.11,0,0,0.460777,3693.31,0.166667,44980,429,429,0,2.2,DW:MY26_Umschreibung_UVP_28112025,429,429
X0052389-3,Grade 3,JA,4250969288223,8822,F010,Bike,Spiel,ACADEMY,M000010554,RED,26,25 CM,KI,DIA,16,0,1,0,0,16,16,,0,0,,0,0,45372,194.3848,206.173333,360.5,166.12,0,0,0.460804,3110.16,0.142857,44980,429,429,0,2.2,DW:MY26_Umschreibung_UVP_28112025,429,429
X0052390-3,Grade 4,Nein/Nur in der Filiale Verfügbar,4250969288322,8832,F006,Bike,MTB,ACADEMY,M000010555,RED,26,29 CM,KN,DIA,20,0,10,0,0,0,0,,0,0,,0,0,45372,218.7465,218.7465,4105.78,1918.33,0,0,0.467227,0,0.047619,45376,489,489,0,2.2,DW:MY26_Umschreibung_UVP_28112025,489,489
X0052391-3,Grade 5,Nein/Nur in der Filiale Verfügbar,4250969288421,8842,F006,Bike,MTB,ACADEMY,M000010556,RED,26,38 CM,KN,DIA,24,0,8,0,0,0,0,,0,0,,0,0,45372,243.0965,243.0965,3541.14,1596.38,0,0,0.45081,0,0.047619,45376,539,539,0,2.2,DW:MY26_Umschreibung_UVP_28112025,539,539
X0052392-3,Grade 6,JA,4250969288520,8852,F006,Bike,MTB,ACADEMY,M000010557,RED,26,45 CM,KN,DIA,26,0,0,0,0,6,,,0,0,,0,0,45372,257.721,257.721,0,0,0,0,0,1546.33,0,45376,549,549,0,2.1,DW:MY26_Umschreibung_UVP_28112025,549,549
X0053176-1,Tour E LTD,JA,4061929029639,212000000529,F103,Bike,E-Trekking ST,CARVER,M000009232,dark anthraciteblackred,25,50 CM,HE,DIA,28,400,7,0,0,0,0,,0,0,,0,0,45526,1128.32,1115.465,7974.04,75.8,0,0,0.009506,0,0,44700,1399.99,2299.99,0.391306,1.2,CC: Carver 210725,1299.99,1299.99
X0053176-2,Tour E LTD,JA,4061929029646,212000000530,F103,Bike,E-Trekking ST,CARVER,M000009232,dark anthraciteblackred,25,55 CM,HE,DIA,28,400,14,0,0,0,0,,0,0,,0,0,45526,1128.32,1110.690286,16124.52,328.04,0,0,0.020344,0,0.027778,44700,1199.99,2299.99,0.478263,1.1,CC: Carver 210725,1299.99,1299.99
X0053177-1,Tour E LTD,Nein/Nur in der Filiale Verfügbar,4061929029660,212000000532,F103,Bike,E-Trekking ST,CARVER,M000009231,white glossy/anthracite/red metallic,25,45 CM,DA,DSP,28,400,1,0,0,0,0,,0,0,,0,0,0,0,1068.700645,1092.43,104.2,0,0,0.095384,-140.09,0.15625,44700,1199.99,2299.99,0.478263,0,,,
X0053177-3,Tour E LTD,JA,4061929029684,212000000534,F103,Bike,E-Trekking ST,CARVER,M000009231,white glossy/anthracite/red metallic,25,55 CM,DA,DSP,28,400,5,0,0,0,0,,0,0,,0,0,45526,1128.32,1128.58625,5798.27,156.67,0,0,0.02702,0,0,44741,1199.99,2299.99,0.478263,1.1,CC: Carver 210725,1299.99,1299.99
X0053178-3,Cityzen E LTD RT,JA,4061929029714,212000000537,F101,Bike,E-City,CARVER,M000009191,whiteanthracitered met.,25,55 CM,DA,DKO,28,400,-1,0,0,0,0,,0,0,,0,0,44926,1133.26,1156.547222,-1512.6,-363.22,0,0,0.24013,1149.38,0.210526,44774,1499.99,2399.99,0.375002,1.3,DW:Veto_Feld_Abfrage_12092025,1399.99,1399.99
X0053179-2,Cityzen E LTD FL,JA,4061929029745,212000000540,F101,Bike,E-City,CARVER,M000009190,dark anthraciteblackred,25,50 CM,DA,DKO,28,400,-1,0,0,0,0,,0,0,,0,0,45149,1111.3,1098.938298,-1344.53,-245.52,0,0,0.182607,0,0.02439,44685,1299.99,2399.99,0.458335,1.2,DW:Veto_Feld_Abfrage_12092025,1399.99,1399.99
X0053308-1,ELEMNT Vorbauhalter,Nein/Nur in der Filiale Verfügbar,853988006164,WFCC1M2,Z039,TZB,Computer E.Teile/Zub.,WAHOO,M000009577,schwarz,25,OSZ,UN,,,0,6,0,0,0,0,,0,0,,0,0,45938,9.67,9.248135,75.6,17.58,0,0,0.23254,0,0.035897,44127,14.99,14.99,0,1.6,MC-C-NOS,14.99,14.99
X0053309-1,ELEMNT Aerobar/ TT-Halter,Nein/Nur in der Filiale Verfügbar,853988006171,WFCC1M3,Z039,TZB,Computer E.Teile/Zub.,WAHOO,M000009565,schwarz,25,OSZ,UN,,,0,2,0,0,1,0.5,,1,0,,0,0,45938,9.67,9.358816,25.2,5.86,0,0,0.23254,19.34,0.064103,44595,14.99,14.99,0,1.6,MC-C-NOS,14.99,14.99
X0053311-1,ELEMNT Roam Aero-Lenkerhalter,Nein/Nur in der Filiale Verfügbar,853988006669,WFCC4M1,Z039,TZB,Computer E.Teile/Zub.,WAHOO,M000009573,schwarz,25,OSZ,UN,,,0,19,10,6,0,0,0,1,0,,0,0,46031,12.89,12.447402,303.1,58.19,100.789916,167.983193,0.191983,12.89,0.116608,44063,19.99,19.99,0,1.6,MC-C-NOS,18.99,18.99
X0053319-1,RPM Cadence Trittfrequenzsensor,JA,857335002793,WFPODCAD2,Z039,TZB,Computer E.Teile/Zub.,WAHOO,M000009581,schwarz,25,OSZ,UN,,,0,42,14,10,0,0,0,1,0,,0,0,46031,25.8,25.23375,1410.68,327.08,336.05042,470.470588,0.23186,25.8,0.056338,44130,39.99,39.99,0,1.6,MC-C-NOS,39.99,39.99
X0053329-1,KICKR Trainer Bodenmatte,JA,857335002564,WFKICKRMAT,H999,Sonstiges,Heimsport sonstiges,WAHOO,M000009580,schwarz,25,OSZ,UN,,,0,59,2,1,13,0.220339,6.5,1,0,,0,0,46031,51.61,46.72841,3957.63,912.65,67.218487,134.436975,0.230605,774.15,0.032159,44138,79.99,79.99,0,1.5,MC-B-NOS,79.99,79.99
X1000000,ZWANZIG,JA,4061929030147,212100000029,F006,Bike,MTB,VILU,M000004360,greenishyellow/black,24,29 CM,KN,DIA,20,0,22,1,0,1,0.045455,1,0,0,,0,0,45642,223.799677,224.281667,6163.66,1240.07,0,386.546218,0.201191,223.8,0,44943,459.99,539.99,0.148151,2.1,,,
X1000001,ZWANZIG,JA,4061929030161,212100000031,F006,Bike,MTB,VILU,M000004360,Red/White,24,29 CM,KN,DIA,20,0,32,0,0,0,0,,0,0,,0,0,45642,223.799706,224.083333,7161.6,0.01,0,0,0.000001,0,0,44606,459.99,539.99,0.148151,2.1,,,
X1000002,SECHZEHN,JA,4061929030123,212100000027,F010,Bike,Spiel,VILU,M000004358,Red/White,24,26 CM,KI,DIA,16,0,25,0,0,2,0.08,,0,0,,0,0,45658,190.47,192.509825,5473.22,711.47,0,0,0.129991,380.94,0,44943,399.99,459.99,0.130438,2.1,,,
X1000003,ZWANZIG,JA,4061929030178,212100000032,F006,Bike,MTB,VILU,M000103239,pink/white,24,29 CM,MÄ,DIA,20,0,22,0,0,0,0,,0,0,,0,0,45642,223.799688,224.485294,5675.41,751.82,0,0,0.13247,0,0,44943,459.99,539.99,0.148151,2.1,,,
X1000004,SECHZEHN,JA,4061929030109,212100000025,F010,Bike,Spiel,VILU,M000004358,greenishyellow/black,24,26 CM,KI,DIA,16,0,0,0,0,16,,,0,0,,0,0,45658,190.47,185.785738,0,0,0,0,0,3047.52,0,44943,399.99,459.99,0.130438,2.1,,,
X1000005,SECHZEHN,JA,4061929030130,212100000028,F010,Bike,Spiel,VILU,M000004358,pink/white,24,26 CM,KI,DIA,16,0,26,0,0,0,0,,0,0,,0,0,45658,190.47,186.20902,5952.19,999.97,0,0,0.168,0,0.042553,44606,399.99,459.99,0.130438,2.1,,,
X1000006,ZWANZIG,JA,4061929030154,212100000030,F006,Bike,MTB,VILU,M000004360,blue/black,24,29 CM,KN,DIA,20,0,28,0,0,0,0,,0,0,,0,0,45642,223.799688,224.485294,6445.95,179.56,0,0,0.027856,0,0.021739,44943,459.99,539.99,0.148151,2.1,,,
X1000007,SECHZEHN,JA,4061929030116,212100000026,F010,Bike,Spiel,VILU,M000004358,blue/black,24,26 CM,KI,DIA,16,0,25,2,0,4,0.16,2,0,0,,0,0,45658,190.47,185.944706,5464.82,703.07,0,672.252101,0.128654,761.88,0.029412,44943,399.99,459.99,0.130438,2.1,,,
X1000008,Hecto Pro 65 & KTV Beleuchtungsset StVZO,Nein/Nur in der Filiale Verfügbar,4712806003647,452000023,T114,TZB,Batteriebeleuchtung,LEZYNE,M000004400,schwarz,24,StVZO,UN,,,0,261,2,0,0,0,0,0,0,,0,0,45685,27.9933,31.244385,10565.42,3259.06,0,75.613445,0.308465,55.99,0.063333,43858,44.99,69.95,0.356826,1.6,CC: NOS-A KW52,44.99,44.99
