Artikelnummer,Bezeichnung,Online_Status,EAN,Kred_Artikelnummer,Warengruppe,Spalte7,Spalte8,Spalte9,Hauptkategorie,PG_Beschreibung,Marke,Modellnummer,Farbe,Saison,Herstellergröße,Zielgruppe,Rahmentyp,Radgröße,Akkukapazität,Absatz_Variabel,Absatz_30T,Absatz_7T,Bestand_verfügbar,Reichweite_JAHRE,Reichweite_MONATE,In_Auftrag,Offen,Nächster_Bestellzugang,Nächste_EK_Menge,Nächster_EK_Preis,Letzter_Einkaufspreis_Datum,Letzter_Einkaufspreis_Wert,Avg_EK,Umsatz_Var,DB_Var,Netto_Umsatz_7_Tage,Netto_Umsatz_30_Tage,DB_Pct_Var,Lagerwert,Retourquote,Erster_Zugang,Preis_Online,UVP,Rabattsatz,Kalkulation,BEMERKUNG,MINPRICE,MAXPRICE,Zyklus,Nachorder?
X0004768-1,Kassette DEORE XT CS-M771 10-fach,JA,4524667428671,ICSM77110132,T083,MC,K1173,Paul Lange GmbH & Co. KG,TZB,Zahnkränze/Kassetten,SHIMANO,M000083862,grau,24,11-32 Zähne,UN,,,0,,,,5,,,,,,,,2024-01-04,43.938,41.557,,,0,0,,212.93,,2022-12-06,63.99,88.95,0.280607,1.5,MC-AUSLAUF,63.99,63.99,Active,0
X0004768-2,Kassette DEORE XT CS-M771 10-fach,JA,4524667428664,ICSM77110134,T083,MC,K1173,Paul Lange GmbH & Co. KG,TZB,Zahnkränze/Kassetten,SHIMANO,M000010422,grau,NOS,11-34 Zähne,KA,,,0,,,,3,,,,,,,,2025-09-09,42.566,42.083478,,,0,0,,128.23,,2023-07-04,59.99,88.95,0.325576,1.4,MC-NOS-C MB=5 VE=18,59.99,59.99,Active,0
X0004768-3,Kassette DEORE XT CS-M771 10-fach,Nein/Nur in der Filiale Verfügbar,4524667428701,ICSM77110136,T083,MC,K1173,Paul Lange GmbH & Co. KG,TZB,Zahnkränze/Kassetten,SHIMANO,M000010422,chrom gestrahlt,NOS,11-36 Zähne,KA,,,0,,,,0,,,,,,,,2025-02-26,39.5425,38.99814,,,0,0,,79.76,,2022-11-30,59.99,88.95,0.325576,1.5,MC-AUSLAUF,59.99,59.99,Active,0
X0004787-3,Kassette CS-HG81 10-fach,Nein/Nur in der Filiale Verfügbar,4524667428596,ICSHG8110136,T083,MC,K1173,Paul Lange GmbH & Co. KG,TZB,Zahnkränze/Kassetten,SHIMANO,M000083860,grau,24,11-36 Zähne,UN,,,0,1,,,0,0,,,,,,,2024-04-03,29.988,29.930694,20.86,-8.94,0,0,-0.428571,0,,2023-05-26,42.99,62.95,0.317077,1.4,MC-NOS-B MB=5 VE=18,42.99,42.99,Active,0
X0009510-1,Kassette Deore XT CS-M770 9-fach,Nein/Nur in der Filiale Verfügbar,4524667130192,ICSM7709132,T083,MC,K1173,Paul Lange GmbH & Co. KG,TZB,Zahnkränze/Kassetten,SHIMANO,M000010421,grau,NOS,11-32 Zähne,KA,,,0,,,,0,,,,18,2026-04-08,18,43.51,2024-09-18,36.7575,29.803699,,,0,0,,0,,2022-12-01,52.99,84.95,0.376221,1.4,MC-NOS-B MB=5 VE=18,52.99,52.99,Active,0
X0009510-2,Kassette Deore XT CS-M770 9-fach,JA,4524667130208,ICSM7709134,T083,MC,K1173,Paul Lange GmbH & Co. KG,TZB,Zahnkränze/Kassetten,SHIMANO,M000083861,grau,24,11-34 Zähne,UN,,,0,,,,3,,,1,,,,,2024-04-03,41.986,41.061818,,,0,0,,166.22,,2023-02-06,59.99,84.95,0.29382,1.4,MC-NOS-C MB=5 VE=18,59.99,59.99,Active,0
X0004864-1,"Bremsscheibe XT SM-RT86 6-Loch, 203 mm, zweiteilig",JA,4550170818104,ESMRT86L2,T079,MC,K1173,Paul Lange GmbH & Co. KG,TZB,Bremsen E.Teile/Zub.,SHIMANO,M000010388,silber/schwarz,24,203 MM,UN,,,0,,,,17,,,1,10,2026-04-15,5,35.36,2026-02-26,30.41,25.104583,,,0,0,,579.55,,2024-01-08,45.99,70.95,0.351797,1.5,MC-NOS-C MB=5 VE=30,45.99,45.99,Active,0
X0004869-1,Kette CN-HG95 10-fach,JA,4524667984665,ICNHG95116I,T082,MC,K1173,Paul Lange GmbH & Co. KG,TZB,Ketten,SHIMANO,M000010420,Silber,24,116 Glieder,UN,,,0,,,,49,,,1,40,2026-04-15,20,18.69,2026-03-30,17.3816,14.706141,,,0,0,,869.08,,2022-12-20,21.99,39.95,0.449562,1.3,MC-NOS-A MB=5 VE=50 25/100,21.99,21.99,Active,0
X0004873-1,Kette CN-HG93 9-fach,JA,4524667040804,ICNHG93116I,T082,MC,K1173,Paul Lange GmbH & Co. KG,TZB,Ketten,SHIMANO,M000010383,grau,24,116 Glieder,UN,,,0,,,,50,,,,100,2026-04-15,50,12.16,2026-03-30,11.3088,8.574633,,,0,0,,575.89,,2022-12-01,14.99,27.95,0.463685,1.3,MC-NOS-A MB=10 VE=50 23/100,14.99,14.99,Active,0
X0040277-1,"Kette PC X1 11-fach, 118 Glieder",JA,710845759109,2131057000,T082,MC,K1314,E. Wiener Bike Parts GmbH,TZB,Ketten,SRAM,M000021533,Silver,24,118 Glieder,UN,,,0,,,,6,,,,,,,,2025-11-12,13.1,14.745909,,,0,0,,96.91,,2023-01-24,21.99,33.95,0.352283,1.7,MC-C-NOS,21.99,21.99,Active,0
